ticket_id,title,description,opened_at,closed_at,priority,status,requester_department,requester_location,affected_service,asset_id,assigned_team,assignee,channel,impact,urgency,resolution_notes
INC-0001,Falha no acesso ao Storage,Ticket para investigação de issue no Storage.,2026-04-08T08:47:00Z,2026-04-09T20:47:00Z,medium,Closed,Operacoes,Sao Paulo,Storage,ASSET-9935,Infra,Analista 01,Email,low,medium,Atualizado configuração e resolvido.
INC-0002,Lentidão no Impressora,Usuário reporta que Impressora está com problemas desde o início do dia.,2026-04-02T16:12:00Z,2026-04-05T14:12:00Z,medium,Closed,RH,Centro de Distribuicao A,Impressora,ASSET-1106,Suporte TI,Analista 03,Chat,medium,medium,Reconfigurado usuário e verificado.
INC-0003,Problema com DNS,Usuário reporta que DNS está com problemas desde o início do dia.,2026-04-06T14:06:00Z,2026-04-08T12:06:00Z,high,Closed,Atendimento,Sao Paulo,DNS,ASSET-3045,DBA,,Chat,high,medium,Aplicado patch e testado com sucesso.
INC-0004,Falha no acesso ao Storage,Recebemos alerta de falha no Storage.,2026-04-15T12:05:00Z,2026-04-16T18:05:00Z,critical,Closed,Comercial,Remoto,Storage,ASSET-3664,Network,Analista 03,Email,medium,medium,Reiniciado serviço e restaurado acesso.
INC-0005,MFA não funcionando,Recebemos alerta de falha no MFA.,2026-04-25T12:59:00Z,2026-04-28T12:59:00Z,high,Closed,Atendimento,Sao Paulo,MFA,ASSET-6168,DBA,Analista 02,Chat,medium,critical,Atualizado configuração e resolvido.
INC-0006,Problema com Backup,Não consigo acessar o Backup da minha máquina.,2026-04-10T12:08:00Z,2026-04-11T20:08:00Z,high,Closed,Logistica,Centro de Distribuicao A,Backup,ASSET-7543,Network,Analista 02,Telefone,low,low,Substituído componente defeituoso.
INC-0007,Problema com Rede,O Rede está lento e impactando o trabalho da equipe.,2026-04-11T18:27:00Z,2026-04-12T03:27:00Z,critical,Closed,TI,Remoto,Rede,,Helpdesk,Analista 01,Email,high,high,Reconfigurado usuário e verificado.
INC-0008,Erro no Fila de Processamento,O Fila de Processamento está lento e impactando o trabalho da equipe.,2026-04-28T10:29:00Z,2026-04-28T11:29:00Z,medium,Closed,TI,Sao Paulo,Fila de Processamento,ASSET-9317,Helpdesk,,Chat,medium,low,Aplicado patch e testado com sucesso.
INC-0009,Erro no Servidor,Não consigo acessar o Servidor da minha máquina.,2026-05-02T08:07:00Z,2026-05-04T07:07:00Z,medium,Closed,Financeiro,Curitiba,Servidor,ASSET-2290,Infra,Analista 01,Portal,medium,critical,Aplicado patch e testado com sucesso.
INC-0010,Problema com Backup,O Backup está lento e impactando o trabalho da equipe.,2026-04-17T16:55:00Z,2026-04-19T23:55:00Z,medium,Closed,Logistica,Recife,Backup,ASSET-7118,DBA,Analista 04,Email,medium,medium,Atualizado configuração e resolvido.
INC-0011,DNS não funcionando,Não consigo acessar o DNS da minha máquina.,2026-04-02T17:35:00Z,2026-04-03T23:35:00Z,medium,Closed,Financeiro,Sao Paulo,DNS,ASSET-4750,Infra,Analista 03,Email,medium,high,Substituído componente defeituoso.
INC-0012,Problema com MFA,Recebemos alerta de falha no MFA.,2026-05-05T10:46:00Z,2026-05-07T23:46:00Z,critical,Closed,Atendimento,Remoto,MFA,,DBA,Analista 04,Telefone,low,low,Atualizado configuração e resolvido.
INC-0013,Erro no Active Directory,Usuário reporta que Active Directory está com problemas desde o início do dia.,2026-04-22T09:15:00Z,2026-04-23T10:15:00Z,critical,Closed,Operacoes,Remoto,Active Directory,,Suporte TI,Analista 01,Telefone,low,low,Atualizado configuração e resolvido.
INC-0014,Lentidão no Servidor,Recebemos alerta de falha no Servidor.,2026-04-06T11:10:00Z,2026-04-08T16:10:00Z,critical,Closed,Operacoes,Remoto,Servidor,,DBA,,Telefone,high,critical,Reconfigurado usuário e verificado.
INC-0015,Problema com VPN,Ticket para investigação de issue no VPN.,2026-05-06T18:45:00Z,2026-05-09T09:45:00Z,medium,Closed,Comercial,Curitiba,VPN,ASSET-9883,Infra,Analista 01,Email,critical,medium,Atualizado configuração e resolvido.
INC-0016,Lentidão no MFA,Não consigo acessar o MFA da minha máquina.,2026-04-06T10:04:00Z,2026-04-06T19:04:00Z,critical,Closed,Financeiro,Centro de Distribuicao A,MFA,ASSET-1651,Helpdesk,,Chat,high,medium,Atualizado configuração e resolvido.
INC-0017,Problema com VPN,Não consigo acessar o VPN da minha máquina.,2026-04-17T14:08:00Z,2026-04-19T05:08:00Z,high,Closed,Atendimento,Sao Paulo,VPN,ASSET-2638,Infra,Analista 05,Chat,medium,high,Reconfigurado usuário e verificado.
INC-0018,Erro no VPN,Não consigo acessar o VPN da minha máquina.,2026-04-24T12:10:00Z,2026-04-26T21:10:00Z,high,Closed,TI,Centro de Distribuicao A,VPN,ASSET-5905,Infra,Analista 02,Chat,low,low,Substituído componente defeituoso.
INC-0019,Falha no acesso ao Rede,O Rede está lento e impactando o trabalho da equipe.,2026-04-18T12:38:00Z,2026-04-19T15:38:00Z,medium,Closed,Logistica,Recife,Rede,ASSET-1832,Infra,Analista 03,Email,low,high,Aplicado patch e testado com sucesso.
INC-0020,Falha no acesso ao Servidor,Usuário reporta que Servidor está com problemas desde o início do dia.,2026-04-11T15:35:00Z,2026-04-13T22:35:00Z,low,Closed,Financeiro,Sao Paulo,Servidor,ASSET-3442,Helpdesk,,Chat,medium,critical,Substituído componente defeituoso.
INC-0021,Falha no acesso ao Storage,Recebemos alerta de falha no Storage.,2026-04-20T13:57:00Z,2026-04-20T19:57:00Z,medium,Closed,Logistica,Curitiba,Storage,,Helpdesk,Analista 04,Portal,medium,medium,Aplicado patch e testado com sucesso.
INC-0022,Lentidão no Certificado,Não consigo acessar o Certificado da minha máquina.,2026-04-02T10:47:00Z,2026-04-04T05:47:00Z,medium,Closed,Comercial,Curitiba,Certificado,ASSET-7267,Infra,Analista 02,Portal,critical,high,Reconfigurado usuário e verificado.
INC-0023,Lentidão no Certificado,Não consigo acessar o Certificado da minha máquina.,2026-04-15T08:42:00Z,2026-04-16T09:42:00Z,high,Closed,Comercial,Sao Paulo,Certificado,,Helpdesk,Analista 05,Chat,low,low,Reconfigurado usuário e verificado.
INC-0024,Erro no Rede,Ticket para investigação de issue no Rede.,2026-04-17T08:06:00Z,2026-04-19T16:06:00Z,high,Closed,RH,Centro de Distribuicao A,Rede,,Helpdesk,,Email,critical,low,Aplicado patch e testado com sucesso.
INC-0025,Falha no acesso ao DNS,Recebemos alerta de falha no DNS.,2026-04-13T13:27:00Z,2026-04-13T22:27:00Z,high,Closed,Logistica,Sao Paulo,DNS,ASSET-9308,Network,Analista 03,Telefone,high,medium,Aplicado patch e testado com sucesso.
INC-0026,Fila de Processamento não funcionando,Não consigo acessar o Fila de Processamento da minha máquina.,2026-04-25T18:47:00Z,2026-04-26T17:47:00Z,high,Closed,RH,Centro de Distribuicao A,Fila de Processamento,,Network,Analista 05,Chat,critical,critical,Substituído componente defeituoso.
INC-0027,Problema com Banco de Dados,Não consigo acessar o Banco de Dados da minha máquina.,2026-05-03T15:50:00Z,2026-05-04T13:50:00Z,high,Closed,TI,Centro de Distribuicao A,Banco de Dados,,Suporte TI,Analista 02,Portal,medium,low,Reiniciado serviço e restaurado acesso.
INC-0028,Falha no acesso ao MFA,Não consigo acessar o MFA da minha máquina.,2026-05-01T17:54:00Z,2026-05-02T03:54:00Z,critical,Closed,Logistica,Centro de Distribuicao A,MFA,ASSET-7291,DBA,Analista 02,Email,low,critical,Reconfigurado usuário e verificado.
INC-0029,Certificado não funcionando,Recebemos alerta de falha no Certificado.,2026-05-04T15:03:00Z,2026-05-07T15:03:00Z,low,Closed,RH,Curitiba,Certificado,ASSET-9702,Helpdesk,Analista 04,Telefone,critical,medium,Atualizado configuração e resolvido.
INC-0030,Falha no acesso ao Impressora,Recebemos alerta de falha no Impressora.,2026-04-17T11:53:00Z,2026-04-18T23:53:00Z,critical,Closed,Logistica,Curitiba,Impressora,ASSET-5681,Suporte TI,Analista 03,Email,medium,medium,Substituído componente defeituoso.
INC-0031,Problema com Backup,O Backup está lento e impactando o trabalho da equipe.,2026-04-10T11:04:00Z,2026-04-12T17:04:00Z,high,Closed,TI,Remoto,Backup,,DBA,Analista 05,Email,critical,critical,Reconfigurado usuário e verificado.
INC-0032,Erro no Impressora,Ticket para investigação de issue no Impressora.,2026-04-20T14:54:00Z,2026-04-22T20:54:00Z,medium,Closed,RH,Curitiba,Impressora,ASSET-1475,DBA,Analista 04,Portal,critical,medium,Substituído componente defeituoso.
INC-0033,Lentidão no Active Directory,Recebemos alerta de falha no Active Directory.,2026-04-02T14:37:00Z,2026-04-02T18:37:00Z,critical,Closed,Operacoes,Remoto,Active Directory,,DBA,Analista 04,Chat,high,critical,Reiniciado serviço e restaurado acesso.
INC-0034,Falha no acesso ao Storage,Não consigo acessar o Storage da minha máquina.,2026-04-17T09:30:00Z,2026-04-17T12:30:00Z,low,Closed,Comercial,Curitiba,Storage,,Infra,Analista 02,Portal,low,medium,Substituído componente defeituoso.
INC-0035,Active Directory não funcionando,Não consigo acessar o Active Directory da minha máquina.,2026-05-01T18:07:00Z,2026-05-02T22:07:00Z,high,Closed,Atendimento,Recife,Active Directory,ASSET-2876,Suporte TI,Analista 01,Email,high,critical,Reconfigurado usuário e verificado.
INC-0036,Erro no Certificado,O Certificado está lento e impactando o trabalho da equipe.,2026-04-05T17:44:00Z,2026-04-07T01:44:00Z,high,Closed,Atendimento,Centro de Distribuicao A,Certificado,,Helpdesk,Analista 03,Telefone,high,low,Reiniciado serviço e restaurado acesso.
INC-0037,Erro no DNS,O DNS está lento e impactando o trabalho da equipe.,2026-04-01T14:52:00Z,2026-04-04T05:52:00Z,critical,Closed,Comercial,Remoto,DNS,,Suporte TI,Analista 03,Telefone,critical,critical,Reiniciado serviço e restaurado acesso.
INC-0038,Falha no acesso ao Acesso a Sistema,O Acesso a Sistema está lento e impactando o trabalho da equipe.,2026-04-21T11:53:00Z,2026-04-21T23:53:00Z,critical,Closed,Operacoes,Remoto,Acesso a Sistema,ASSET-7209,Network,,Chat,medium,critical,Aplicado patch e testado com sucesso.
